GEOID,month,EHD_threshold
1105,7,28.732002
1105,8,28.763
1107,6,27.878002
1107,7,28.850002
1107,8,28.759
1109,6,27.677002
1109,7,28.565
1109,8,28.475002
1111,6,26.399002
1111,7,27.499
1111,8,27.299002
1113,6,27.798002
1113,7,28.833002
1113,8,28.506
1115,6,26.736002
1115,7,28.072020000000002
1115,8,27.982002
1117,6,27.491100899999992
1117,7,28.562002
1117,8,28.507002
1119,6,27.8735005
1119,7,28.913002
1119,8,28.914001
1121,6,26.986002
1121,7,28.168001
1121,8,28.019001
1123,6,27.118002
1123,7,28.191002
1123,8,27.988
1125,6,27.651001
1125,7,28.725002
1125,8,28.774002
1127,6,26.937002
1127,7,28.251001
1127,8,28.316002
1129,6,28.084002
1129,7,29.008001
1129,8,28.802519399999998
1131,6,27.702002
1131,7,28.633001
1131,8,28.661001
1133,6,26.304
1133,7,27.634
1133,8,27.567001
4001,6,23.705930300000006
4001,7,25.590002
4001,8,24.2100007
4003,6,28.259
4003,7,28.678001
4003,8,27.364002
4005,6,25.577002
4005,7,27.516
4005,8,26.071001
4007,6,28.312002
4007,7,29.884
4007,8,28.944002
4009,6,29.019001
4009,7,29.922
4009,8,28.7319992
4011,6,27.398
4011,7,28.395
4011,8,27.191002
4012,6,33.497
4012,7,35.766003
4012,8,35.147003
4013,6,33.689003
4013,7,35.59
4013,8,35.072002
4015,6,31.274002
4015,7,33.575
4015,8,32.717003
4017,6,24.482
4017,7,26.311
4017,8,25.026001
4019,6,32.268
4019,7,33.59
4019,8,32.832
4021,6,32.809002
4021,7,34.374
4021,8,33.575
4023,6,27.697
4023,7,28.012001
4023,8,26.647000199999997
4025,6,28.319002
4025,7,30.163002
4025,8,29.424002
4027,6,33.807003
4027,7,36.044003
4027,8,35.741159200000006
5001,6,28.696001
5001,7,29.62
5001,8,29.374
5003,6,28.285002
5003,7,29.378002
5003,8,29.531900800000003
5005,6,26.414001
5005,7,28.335001
5005,8,28.359001
5007,6,26.453001
5007,7,28.464
5007,8,28.454
5009,6,26.391
5009,7,28.311651299999994
5009,8,28.19
5011,6,27.963001
5011,7,29.255001
5011,8,29.419
5013,6,27.861002
5013,7,29.25060139999999
5013,8,29.427002
5015,6,26.362724999999998
5015,7,28.239002
5015,8,28.434002
5017,6,28.758001
5017,7,29.788002
5017,8,29.861002
5019,6,27.762001
5019,7,29.406002
5019,8,29.534002
5021,6,28.228
5021,7,29.29
5021,8,28.727800200000004
5023,6,27.017002
5023,7,29.141
5023,8,29.074001
5025,6,28.193
5025,7,29.524002
5025,8,29.5062
5027,6,28.187002
5027,7,29.582
5027,8,29.882002
5029,6,27.521002
5029,7,29.394001
5029,8,29.318
5031,6,28.653002
5031,7,29.639002
5031,8,29.104002
5033,6,27.247002
5033,7,29.246002
5033,8,29.318
5035,6,28.595001
5035,7,29.482002
5035,8,29.136002
5037,6,28.525002
5037,7,29.547
5037,8,28.977001
5039,6,27.846
5039,7,29.368002
5039,8,29.393002
5041,6,28.642002
5041,7,29.485
5041,8,29.410002
5043,6,28.590002
5043,7,29.69
5043,8,29.662
5045,6,27.987001
5045,7,29.779001
5045,8,29.673002
5047,6,27.320002
5047,7,29.347002
5047,8,29.417002
5049,6,26.484001
5049,7,28.328001
5049,8,28.254301699999996
5051,6,27.472002
5051,7,29.404001
5051,8,29.356
5053,6,28.078001
5053,7,29.603
5053,8,29.560001
5055,6,28.278451549999996
5055,7,29.318
5055,8,28.846
5057,6,27.92935069999999
5057,7,29.629002
5057,8,29.835001
5059,6,27.702002
5059,7,29.465201999999994
5059,8,29.480001
5061,6,27.426
5061,7,29.254002
5061,8,29.486675349999995
5063,6,27.599
5063,7,29.222002
5063,8,29.075
5065,6,26.712002
5065,7,28.576002
5065,8,28.593
5067,6,28.421200799999998
5067,7,29.702002
5067,8,29.234001
5069,6,28.563002
5069,7,29.749
5069,8,29.616001
5071,6,26.961
5071,7,28.894001
5071,8,29.056002
5073,6,28.257002
5073,7,29.692001
5073,8,30.047
5075,6,28.072
5075,7,29.400002
5075,8,28.957
5077,6,28.521002
5077,7,29.46710109999999
5077,8,29.189001
5079,6,28.546001
5079,7,29.7
5079,8,29.504002
5081,6,28.257002
5081,7,30.022001
5081,8,30.236002
5083,6,27.66772545
5083,7,29.659002
5083,8,29.731
5085,6,28.578001
5085,7,29.788002
5085,8,29.495
5087,6,26.072
5087,7,28.010002
5087,8,28.199001
5089,6,26.477001
5089,7,28.390001
5089,8,28.308
5091,6,28.443
5091,7,29.928001
5091,8,30.263
5093,6,28.894001
5093,7,29.592001
5093,8,29.003002
5095,6,28.577002
5095,7,29.655
5095,8,29.288002
5097,6,27.109001
5097,7,28.955002
5097,8,28.8580469
5099,6,28.083002
5099,7,29.640001
5099,8,29.784002
5101,6,25.701002
5101,7,27.743002
5101,8,27.848914999999998
5103,6,28.099
5103,7,29.556002
5103,8,29.688002
5105,6,27.756
5105,7,29.628002
5105,8,29.461002
5107,6,28.583002
5107,7,29.491001
5107,8,29.358002
5109,6,26.975
5109,7,28.832
5109,8,29.000002
5111,6,28.674002
5111,7,29.685001
5111,8,29.04297085
5113,6,26.671001
5113,7,28.484001
5113,8,28.501001
5115,6,27.074001
5115,7,29.021002
5115,8,29.103
5117,6,28.763
5117,7,29.919
5117,8,29.541002
5119,6,28.414001
5119,7,30.035002
5119,8,29.937002
5121,6,27.507002
5121,7,28.894001
5121,8,28.442001
5123,6,28.416002
5123,7,29.405
5123,8,29.063002
5125,6,27.894001
5125,7,29.633001
5125,8,29.598001
5127,6,27.085001
5127,7,29.001001
5127,8,28.958501
5129,6,26.225
5129,7,28.228
5129,8,28.282001
5131,6,27.902
5131,7,29.943
5131,8,29.925001
5133,6,27.614002
5133,7,29.389002
5133,8,29.745
5135,6,27.158
